Timestamp,Value
2017-07-24,0.733295
2017-07-31,0.73102
2017-08-07,0.68834
2017-08-14,0.732049
2017-08-21,0.911188
2017-08-28,1.02105
2017-09-04,1.09495
2017-09-11,1.09475
2017-09-18,1.09775
2017-09-25,1.18882
2017-10-02,1.26682
2017-10-09,1.30662
2017-10-16,1.34866
2017-10-23,1.51871
2017-10-30,1.74793
2017-11-06,1.87047
2017-11-13,2.06674
2017-11-20,2.28188
2017-11-27,2.28528
2017-12-04,2.5848
2017-12-11,3.36711
2017-12-18,4.71836
2017-12-25,5.72036
2018-01-01,5.77543
2018-01-08,5.9083
2018-01-15,6.49095
2018-01-22,7.17799
2018-01-29,7.52851
2018-02-05,7.38424
2018-02-12,6.46068
2018-02-19,4.95341
2018-02-26,3.67274
2018-03-05,3.2037
2018-03-12,2.78869
2018-03-19,2.50234
2018-03-26,2.41065
2018-04-02,2.07542
2018-04-09,1.78234
2018-04-16,1.61608
2018-04-23,1.53992
2018-04-30,1.53115
2018-05-07,1.29599
2018-05-14,1.18904
2018-05-21,1.24941
2018-05-28,1.14134
2018-06-04,0.988567
2018-06-11,0.895433
2018-06-18,0.892227
2018-06-25,0.877636
2018-07-02,0.77502
2018-07-09,0.725956
2018-07-16,0.68266
2018-07-23,0.640527
2018-07-30,0.64106
2018-08-06,0.706465
2018-08-13,0.708668
2018-08-20,0.825743
2018-08-27,0.864409
2018-09-03,1.10114
2018-09-10,1.15244
2018-09-17,1.20257
2018-09-24,1.25033
2018-10-01,1.41846
2018-10-08,1.40418
2018-10-15,1.47401
2018-10-22,1.64257
2018-10-29,1.79275
2018-11-05,1.87043
2018-11-12,1.98387
2018-11-19,2.24169
2018-11-26,2.14883
2018-12-03,2.25531
2018-12-10,2.64571
2018-12-17,3.14075
2018-12-24,3.97127
2018-12-31,3.46125
2019-01-07,3.07707
2019-01-14,3.32915
2019-01-21,3.81999
2019-01-28,4.3419
2019-02-04,4.88288
2019-02-11,5.04211
2019-02-18,4.88596
2019-02-25,4.5499
2019-03-04,4.38001
2019-03-11,4.2288
2019-03-18,3.68449
2019-03-25,3.08744
2019-04-01,2.69971
2019-04-08,2.28549
2019-04-15,2.01443
2019-04-22,1.7141
2019-04-29,1.56927
2019-05-06,1.49991
2019-05-13,1.50211
2019-05-20,1.42357
2019-05-27,1.39457
2019-06-03,1.21776
2019-06-10,1.11351
2019-06-17,0.992293
2019-06-24,0.947072
2019-07-01,0.876088
2019-07-08,0.809956
2019-07-15,0.755431
2019-07-22,0.73346
2019-07-29,0.72729
2019-08-05,0.754637
2019-08-12,0.730938
2019-08-19,0.840615
2019-08-26,0.989217
2019-09-02,1.14059
2019-09-09,1.23272
2019-09-16,1.24529
2019-09-23,1.33771
2019-09-30,1.49064
2019-10-07,1.59269
2019-10-14,1.72517
2019-10-21,1.83428
2019-10-28,2.04049
2019-11-04,2.39351
2019-11-11,2.63245
2019-11-18,2.91944
2019-11-25,3.41066
2019-12-02,3.2622
2019-12-09,3.94308
2019-12-16,5.06529
2019-12-23,7.06161
2019-12-30,5.91974
2020-01-06,4.94176
2020-01-13,5.33174
2020-01-20,6.08106
2020-01-27,6.74724
2020-02-03,6.7998
2020-02-10,6.11292
2020-02-17,5.55671
2020-02-24,5.12279
2020-03-02,5.26652
